ST,STATE,OCC_TITLE,TOT_EMP,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
MO,Missouri,Computer and Mathematical Occupations,"84,520",30.310,1.01,37.83,"78,690",18.51,25.69,36.55,48.40,59.82,"38,510","53,430","76,030","100,670","124,420",,
MO,Missouri,Computer and Information Research Scientists,240,0.085,0.43,47.60,"99,010",26.25,34.42,43.60,63.10,74.70,"54,590","71,600","90,700","131,240","155,380",,
MT,Montana,Computer and Information Systems Managers,560,1.215,0.47,57.18,"118,930",31.56,39.58,48.62,63.41,96.01,"65,650","82,320","101,130","131,890","199,690",,
MT,Montana,Computer and Mathematical Occupations,"8,150",17.680,0.59,30.63,"63,720",15.11,20.85,28.40,36.50,46.08,"31,430","43,360","59,070","75,920","95,840",,
MT,Montana,Computer and Information Research Scientists,60,0.138,0.70,50.65,"105,360",25.19,27.30,31.01,47.11,#,"52,390","56,790","64,500","97,990",#,,
NE,Nebraska,Computer and Information Systems Managers,"2,020",2.083,0.81,58.19,"121,040",36.58,44.30,55.63,69.25,80.63,"76,080","92,150","115,710","144,050","167,720",,
NE,Nebraska,Computer and Mathematical Occupations,"30,240",31.169,1.04,36.33,"75,570",18.87,25.72,35.49,46.07,56.39,"39,240","53,500","73,820","95,820","117,300",,
NE,Nebraska,Computer and Information Research Scientists,40,0.038,0.19,41.74,"86,810",31.35,35.61,42.39,48.09,55.38,"65,210","74,070","88,170","100,030","115,200",,
NV,Nevada,Computer and Information Systems Managers,**,**,**,64.16,"133,460",39.87,47.96,59.45,74.41,93.96,"82,930","99,760","123,670","154,780","195,440",,
NV,Nevada,Computer and Mathematical Occupations,"19,410",14.812,0.50,36.93,"76,820",18.64,24.01,34.74,47.19,59.15,"38,770","49,940","72,260","98,150","123,030",,
NV,Nevada,Computer and Information Research Scientists,50,0.036,0.18,49.72,"103,410",27.95,38.96,51.89,60.50,71.55,"58,130","81,030","107,930","125,830","148,820",,
NH,New Hampshire,Computer and Information Systems Managers,"2,100",3.231,1.26,66.45,"138,220",41.01,49.87,63.18,77.38,96.03,"85,300","103,720","131,410","160,960","199,730",,
NH,New Hampshire,Computer and Mathematical Occupations,"19,140",29.442,0.98,42.43,"88,260",22.42,29.49,39.45,52.75,66.24,"46,640","61,340","82,050","109,720","137,780",,
NJ,New Jersey,Computer and Information Systems Managers,"13,900",3.470,1.35,84.54,"175,830",51.90,61.20,76.29,97.51,#,"107,960","127,290","158,670","202,830",#,,
NJ,New Jersey,Computer and Mathematical Occupations,"139,640",34.846,1.17,48.34,"100,540",25.55,33.76,45.59,60.76,76.11,"53,140","70,220","94,830","126,390","158,310",,
NJ,New Jersey,Computer and Information Research Scientists,"1,280",0.320,1.63,60.21,"125,240",37.64,46.41,59.07,72.74,84.99,"78,290","96,530","122,860","151,300","176,770",,
NM,New Mexico,Computer and Information Systems Managers,"1,190",1.486,0.58,52.19,"108,560",31.83,38.24,47.12,61.42,82.00,"66,200","79,530","98,010","127,750","170,550",,
NM,New Mexico,Computer and Mathematical Occupations,"14,750",18.411,0.62,37.62,"78,240",17.01,24.65,34.94,48.39,61.94,"35,380","51,260","72,670","100,660","128,840",,
